,ru,en
Player_message_place_023_0,"Ох, Боже",Oh god
Player_message_place_023_1,Где я?,Where I am?
Player_message_place_023_2,Что за место?,What place?
Player_message_place_023_3,Бля сваливаем!,Shit we dump!
Ghost_help_0,Иди сюда!,Go here!
Ghost_help_1,Не бойся!,Do not be afraid!
Ghost_help_2,Я тебе помогу!,I will help you!
Ghost_help_3,"Покажи мне ключ, я подскажу какой комната.","Show me the key, I will tell you what room."
Ghost_help_4,"Если тебе нужна помощь, я буду здесь!",If you need help I'll be here!
Ghost_help_5,"Знай, я тебе подскажу только 4 раза!","Know, I will prompt you only 4 times!"
Ghost_help_6,"Тем я тебе подскажу, тем призрак меня убьет!!!","I'll tell you a hint, the ghost will kill me !!!"
Ghost_help_7,Старайся меньше подсказок!,Try less tips!
Ghost_help_8,Так будет лучше!,It will be better this way!
Ghost_help_9,До встречи...,See you...
Evil_ghost_nurse_0,Иди ко мне!,Come to me!
Evil_ghost_nurse_1,А ну иди КО МНЕ!!!,"Well, COME TO ME!!!"
Evil_ghost_1,Спаси меня!!!,Save me!!!
Evil_ghost_2,Помоги!!,Help!!!
Main_Menu_0,Вы выбрали язык именно так?,Did you choose the language exactly?
Settings_G_0,Настройки,Settings
Music_G_0,Музыка,Music
Sound_G_0,Звук,Sound
YES_S_0,Да,Yes
NO_S_0,Нет,No
